Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,Customer Satisfaction
50,25,2763,Urban,Rainy,Truck,Medium,Weekday,71
35,16,2209,Highway,Rainy,Truck,Low,Weekday,92
32,9,1998,Highway,Rainy,Truck,Medium,Weekday,73
57,24,2763,Urban,Sunny,Truck,Medium,Weekday,92
38,13,2189,Suburban,Sunny,Truck,Medium,Weekday,86
34,6,1701,Suburban,Sunny,Truck,Medium,Weekend,84
53,24,2610,Urban,Sunny,Truck,Low,Weekend,78
58,11,1995,Highway,Sunny,Truck,Low,Weekend,76
46,26,2712,Highway,Sunny,Truck,Low,Weekday,79
43,16,2380,Suburban,Sunny,Truck,Medium,Weekday,85
50,10,1988,Highway,Sunny,Truck,Low,Weekend,81
32,13,2144,Highway,Snowy,Truck,Medium,Weekday,89
57,31,3093,Highway,Snowy,Truck,Medium,Weekday,69
30,11,1917,Urban,Rainy,Truck,High,Weekday,74
49,20,2412,Suburban,Snowy,Truck,High,Weekday,75
58,26,2823,Highway,Rainy,Truck,Medium,Weekday,66
50,18,2304,Urban,Sunny,Truck,High,Weekend,87
52,22,2528,Urban,Sunny,Truck,High,Weekday,74
30,6,1632,Suburban,Rainy,Truck,High,Weekday,71
32,9,1814,Highway,Rainy,Truck,Medium,Weekend,81
47,10,1995,Urban,Rainy,Truck,Low,Weekend,60
54,32,3145,Urban,Rainy,Truck,Medium,Weekday,63
39,22,2682,Suburban,Sunny,Truck,Medium,Weekday,75
51,8,1891,Urban,Rainy,Truck,Medium,Weekend,81
55,20,2482,Highway,Snowy,Truck,Medium,Weekend,81
32,14,2139,Urban,Sunny,Truck,High,Weekday,85
37,8,1820,Suburban,Rainy,Truck,High,Weekend,91
43,18,2413,Highway,Sunny,Truck,Medium,Weekday,74
53,30,2921,Suburban,Rainy,Truck,Low,Weekday,79
47,10,2057,Highway,Rainy,Truck,Low,Weekday,77
44,16,2358,Urban,Sunny,Truck,High,Weekday,64
51,12,2007,Urban,Rainy,Truck,Medium,Weekend,86
52,29,3028,Suburban,Sunny,Truck,Medium,Weekday,99
31,18,2473,Urban,Rainy,Truck,Medium,Weekday,82
56,32,3112,Suburban,Sunny,Truck,Medium,Weekday,89
39,15,2269,Suburban,Rainy,Truck,Medium,Weekday,77
31,16,2348,Urban,Sunny,Truck,Medium,Weekday,80
55,23,2673,Suburban,Rainy,Truck,High,Weekday,69
46,12,1962,Suburban,Sunny,Truck,High,Weekday,79
37,15,2221,Highway,Rainy,Truck,High,Weekend,83
30,4,1564,Urban,Snowy,Truck,High,Weekday,67
38,16,2211,Suburban,Snowy,Truck,Medium,Weekday,83
40,8,1911,Highway,Rainy,Truck,Medium,Weekend,85
51,9,1815,Suburban,Rainy,Truck,High,Weekday,68
45,8,1843,Suburban,Sunny,Truck,High,Weekday,91
36,13,2151,Highway,Sunny,Truck,Low,Weekend,89
58,19,2498,Urban,Sunny,Truck,Medium,Weekday,74
39,19,2475,Urban,Rainy,Truck,Low,Weekday,78
52,11,2085,Urban,Snowy,Truck,Medium,Weekday,69
55,17,2295,Highway,Sunny,Truck,Medium,Weekday,95
32,10,1937,Highway,Snowy,Truck,Medium,Weekend,90
47,24,2734,Urban,Rainy,Truck,Low,Weekday,84
54,13,2160,Suburban,Rainy,Truck,Medium,Weekend,75
53,18,2371,Suburban,Sunny,Truck,High,Weekend,77
42,23,2699,Urban,Sunny,Truck,Medium,Weekday,83
57,25,2738,Highway,Sunny,Truck,Medium,Weekday,91
55,16,2221,Urban,Rainy,Truck,Medium,Weekday,64
36,5,1656,Highway,Sunny,Truck,High,Weekday,91
54,29,2878,Suburban,Sunny,Truck,Low,Weekday,89
33,4,1540,Suburban,Rainy,Truck,High,Weekend,80
42,18,2295,Suburban,Rainy,Truck,Medium,Weekend,78
49,16,2185,Suburban,Snowy,Truck,High,Weekday,71
30,13,2186,Highway,Sunny,Truck,High,Weekday,62
37,15,2138,Suburban,Sunny,Truck,Medium,Weekend,87
43,25,2699,Urban,Rainy,Truck,Low,Weekday,65
45,12,2019,Suburban,Sunny,Truck,Medium,Weekend,80
43,21,2600,Highway,Sunny,Truck,Medium,Weekday,91
41,14,2187,Suburban,Sunny,Truck,Low,Weekday,77
48,14,2108,Suburban,Sunny,Truck,Low,Weekend,70
52,23,2571,Highway,Sunny,Truck,Medium,Weekday,96
44,19,2493,Urban,Sunny,Truck,Low,Weekend,91
57,26,2892,Suburban,Sunny,Truck,Low,Weekend,81
31,15,2338,Urban,Sunny,Truck,Medium,Weekday,71
31,11,2046,Highway,Rainy,Truck,Low,Weekday,82
52,15,2279,Highway,Sunny,Truck,Medium,Weekend,76
51,20,2386,Highway,Rainy,Truck,Medium,Weekend,83
48,14,2290,Suburban,Sunny,Truck,Medium,Weekday,86
54,10,1950,Urban,Sunny,Truck,High,Weekend,83
55,18,2318,Highway,Rainy,Truck,Medium,Weekday,92
59,18,2322,Urban,Sunny,Truck,Medium,Weekday,92
58,14,2210,Urban,Sunny,Truck,Medium,Weekend,83
51,11,1916,Highway,Sunny,Truck,High,Weekday,85
55,8,1789,Urban,Snowy,Truck,High,Weekend,67
55,8,1851,Urban,Sunny,Truck,High,Weekday,86
51,30,3010,Urban,Sunny,Truck,Medium,Weekday,94
46,17,2274,Suburban,Rainy,Truck,Low,Weekday,93
49,17,2377,Highway,Sunny,Truck,Medium,Weekday,72
39,18,2410,Urban,Sunny,Truck,Low,Weekday,96
35,8,1831,Urban,Sunny,Truck,High,Weekday,68
44,25,2755,Urban,Rainy,Truck,Medium,Weekday,79
51,20,2596,Urban,Sunny,Truck,High,Weekday,66
40,9,1993,Urban,Sunny,Truck,Medium,Weekday,86
57,16,2223,Suburban,Sunny,Truck,High,Weekend,75
34,18,2428,Urban,Rainy,Truck,Medium,Weekday,70
30,17,2357,Urban,Sunny,Truck,Low,Weekday,99
37,14,2104,Suburban,Snowy,Truck,Medium,Weekday,81
50,22,2502,Urban,Sunny,Truck,Medium,Weekday,96
57,15,2342,Highway,Snowy,Truck,Medium,Weekday,68
41,19,2457,Highway,Snowy,Truck,High,Weekday,64
41,11,2053,Highway,Sunny,Truck,Low,Weekday,89
34,15,2171,Suburban,Sunny,Truck,Medium,Weekend,87
36,12,2074,Suburban,Sunny,Truck,Medium,Weekend,82
33,14,2197,Suburban,Sunny,Truck,Medium,Weekday,81
35,11,1898,Urban,Rainy,Truck,High,Weekday,82
42,9,1933,Urban,Sunny,Truck,High,Weekday,86
49,10,1959,Highway,Sunny,Truck,High,Weekday,87
59,13,2065,Urban,Sunny,Truck,High,Weekday,83
44,9,1938,Urban,Snowy,Truck,High,Weekday,76
32,16,2265,Suburban,Sunny,Truck,Medium,Weekday,73
52,13,2176,Highway,Sunny,Truck,High,Weekday,79
37,8,1911,Urban,Sunny,Truck,Medium,Weekday,79
49,28,2812,Urban,Snowy,Truck,Medium,Weekday,72
45,24,2736,Urban,Rainy,Truck,Low,Weekday,65
42,18,2441,Urban,Sunny,Truck,High,Weekday,63
47,22,2596,Suburban,Sunny,Truck,High,Weekday,83
57,15,2239,Highway,Sunny,Truck,Medium,Weekday,78
39,10,1896,Suburban,Sunny,Truck,High,Weekday,92
59,23,2612,Urban,Snowy,Truck,High,Weekday,78
48,22,2511,Suburban,Rainy,Truck,Low,Weekday,61
46,12,2013,Suburban,Sunny,Truck,Medium,Weekday,73
53,21,2583,Urban,Rainy,Truck,High,Weekday,66
48,13,2211,Highway,Sunny,Truck,Medium,Weekday,86
57,16,2380,Suburban,Rainy,Truck,Medium,Weekday,72
55,22,2620,Urban,Rainy,Truck,Low,Weekday,65
52,22,2519,Suburban,Sunny,Truck,Medium,Weekday,91
55,18,2361,Highway,Rainy,Truck,High,Weekend,68
34,8,1943,Urban,Sunny,Truck,Medium,Weekday,90
55,24,2672,Suburban,Sunny,Truck,High,Weekday,64
50,12,1984,Suburban,Sunny,Truck,High,Weekend,82
59,11,1980,Urban,Sunny,Truck,High,Weekend,59
52,28,2985,Suburban,Rainy,Truck,Medium,Weekday,76
38,22,2631,Urban,Snowy,Truck,Low,Weekday,81
41,22,2610,Highway,Rainy,Truck,Medium,Weekday,77
50,26,2824,Urban,Rainy,Truck,Low,Weekday,75
30,10,1962,Urban,Rainy,Truck,High,Weekday,72
55,23,2569,Suburban,Sunny,Truck,Medium,Weekday,75
55,12,2137,Urban,Sunny,Truck,Medium,Weekday,85
30,8,1730,Highway,Sunny,Truck,Medium,Weekend,77
44,12,2072,Highway,Rainy,Truck,High,Weekend,75
31,7,1697,Urban,Snowy,Truck,High,Weekday,79
59,28,2853,Urban,Sunny,Truck,Medium,Weekday,89
51,16,2251,Suburban,Rainy,Truck,High,Weekday,80
45,8,1843,Urban,Rainy,Truck,Medium,Weekend,70
54,15,2187,Suburban,Sunny,Truck,Medium,Weekday,76
37,13,2180,Suburban,Sunny,Truck,High,Weekday,79
42,9,1853,Urban,Sunny,Truck,Medium,Weekday,86
50,21,2643,Suburban,Sunny,Truck,High,Weekday,71
30,11,2006,Suburban,Sunny,Truck,Low,Weekday,82
45,13,2179,Urban,Sunny,Truck,Low,Weekend,79
58,20,2402,Highway,Sunny,Truck,High,Weekday,66
36,19,2366,Urban,Sunny,Truck,Low,Weekday,83
34,8,1861,Urban,Rainy,Truck,High,Weekday,84
51,19,2403,Suburban,Sunny,Truck,High,Weekday,64
58,19,2342,Urban,Rainy,Truck,Low,Weekend,73
52,12,1946,Suburban,Sunny,Truck,Medium,Weekend,73
32,13,2026,Urban,Sunny,Truck,Low,Weekend,90
41,16,2276,Highway,Snowy,Truck,Medium,Weekend,68
55,25,2835,Suburban,Sunny,Truck,Low,Weekday,89
45,24,2654,Urban,Sunny,Truck,Medium,Weekday,93
48,26,2831,Urban,Rainy,Truck,Medium,Weekday,85
34,12,2087,Urban,Sunny,Truck,Medium,Weekend,94
51,21,2495,Highway,Sunny,Truck,High,Weekday,62
54,20,2529,Urban,Sunny,Truck,High,Weekday,74
58,21,2616,Urban,Sunny,Truck,High,Weekend,75
43,19,2431,Urban,Sunny,Truck,Medium,Weekday,98
57,22,2651,Suburban,Sunny,Truck,High,Weekday,94
34,8,1958,Urban,Rainy,Truck,Medium,Weekday,63
44,19,2508,Highway,Rainy,Truck,High,Weekday,65
46,20,2438,Urban,Rainy,Truck,High,Weekday,67
59,9,1931,Suburban,Rainy,Truck,Medium,Weekend,84
43,22,2548,Highway,Rainy,Truck,Medium,Weekday,86
59,11,1945,Highway,Sunny,Truck,High,Weekend,67
49,12,2078,Highway,Rainy,Truck,High,Weekday,66
34,12,2114,Highway,Rainy,Truck,High,Weekday,74
41,8,1845,Suburban,Rainy,Truck,Medium,Weekend,63
45,23,2658,Suburban,Sunny,Truck,Medium,Weekday,73
55,29,2925,Urban,Sunny,Truck,Low,Weekday,73
55,17,2276,Urban,Sunny,Truck,High,Weekend,86
45,9,1907,Urban,Rainy,Truck,Low,Weekday,86
50,12,2039,Suburban,Sunny,Truck,High,Weekday,73
36,16,2358,Suburban,Rainy,Truck,Low,Weekday,85
33,19,2449,Urban,Sunny,Truck,Low,Weekday,88
30,13,2241,Suburban,Sunny,Truck,Medium,Weekday,79
59,13,2041,Suburban,Sunny,Truck,High,Weekday,61
59,20,2587,Urban,Sunny,Truck,Low,Weekend,76
34,11,2044,Highway,Sunny,Truck,Medium,Weekend,93
52,26,2793,Urban,Sunny,Truck,Medium,Weekday,85
55,13,2232,Suburban,Snowy,Truck,Medium,Weekday,56
39,19,2462,Suburban,Sunny,Truck,Low,Weekday,81
51,16,2368,Suburban,Sunny,Truck,High,Weekday,58
34,19,2495,Suburban,Rainy,Truck,Medium,Weekday,65
33,8,1810,Urban,Rainy,Truck,Low,Weekend,66
31,11,1993,Suburban,Rainy,Truck,High,Weekend,92
49,22,2620,Suburban,Sunny,Truck,High,Weekday,88
39,9,1896,Urban,Rainy,Truck,Medium,Weekday,71
55,31,3006,Urban,Rainy,Truck,Medium,Weekday,62
48,17,2355,Suburban,Sunny,Truck,High,Weekday,63
55,9,1839,Highway,Sunny,Truck,High,Weekday,77
30,7,1809,Suburban,Sunny,Truck,High,Weekend,86
53,25,2794,Highway,Sunny,Truck,Medium,Weekday,80
34,5,1752,Urban,Rainy,Truck,Medium,Weekend,66
42,14,2072,Suburban,Sunny,Truck,High,Weekday,66
33,11,2097,Highway,Snowy,Truck,Low,Weekday,65
45,20,2446,Highway,Sunny,Truck,Medium,Weekday,80
53,8,1882,Urban,Sunny,Truck,High,Weekday,93
45,24,2797,Suburban,Sunny,Truck,Medium,Weekday,71
52,30,2946,Highway,Sunny,Truck,Medium,Weekday,98
31,14,2139,Suburban,Rainy,Truck,Medium,Weekend,79
46,22,2623,Highway,Rainy,Truck,Low,Weekday,69
57,14,2174,Suburban,Sunny,Truck,Medium,Weekday,82
56,22,2611,Suburban,Sunny,Truck,High,Weekend,61
49,8,1832,Urban,Sunny,Truck,Medium,Weekend,86
53,8,1835,Urban,Rainy,Truck,Low,Weekend,78
41,10,1973,Urban,Sunny,Truck,High,Weekday,70
47,14,2131,Urban,Sunny,Truck,Medium,Weekend,97
32,16,2260,Highway,Rainy,Truck,Medium,Weekday,80
57,20,2553,Highway,Snowy,Truck,High,Weekday,71
30,8,1799,Highway,Sunny,Truck,High,Weekday,63
30,9,1852,Urban,Sunny,Truck,Medium,Weekday,77
58,27,2885,Highway,Rainy,Truck,High,Weekday,74
48,17,2362,Urban,Rainy,Truck,Low,Weekday,67
40,12,2018,Suburban,Sunny,Truck,High,Weekday,58
34,9,1967,Urban,Snowy,Truck,Medium,Weekday,64
41,16,2382,Urban,Rainy,Truck,High,Weekday,91
32,12,2007,Urban,Sunny,Truck,Medium,Weekend,80
30,6,1717,Suburban,Sunny,Truck,Medium,Weekend,93
30,6,1750,Suburban,Sunny,Truck,Medium,Weekday,75
37,13,2156,Suburban,Rainy,Truck,Medium,Weekend,90
39,14,2222,Suburban,Sunny,Truck,High,Weekday,82
40,12,2034,Highway,Rainy,Truck,Medium,Weekday,70
41,23,2595,Suburban,Rainy,Truck,Medium,Weekday,85
58,15,2303,Suburban,Sunny,Truck,Medium,Weekday,76
42,12,1996,Highway,Rainy,Truck,Medium,Weekend,80
41,18,2377,Suburban,Snowy,Truck,High,Weekday,62
43,12,1991,Highway,Sunny,Truck,High,Weekday,71
31,14,2264,Urban,Sunny,Truck,Medium,Weekday,98
58,16,2203,Highway,Sunny,Truck,High,Weekday,67
48,11,2023,Urban,Rainy,Truck,High,Weekend,63
47,21,2540,Suburban,Snowy,Truck,Medium,Weekend,65
32,11,2141,Urban,Sunny,Truck,Medium,Weekday,88
52,22,2523,Urban,Rainy,Truck,High,Weekend,60
46,13,2149,Urban,Sunny,Truck,Medium,Weekday,95
55,12,1997,Suburban,Sunny,Truck,High,Weekend,68
37,7,1839,Highway,Sunny,Truck,Medium,Weekday,86
58,26,2703,Urban,Sunny,Truck,Medium,Weekday,94
55,19,2475,Suburban,Sunny,Truck,Medium,Weekday,74
39,21,2488,Suburban,Sunny,Truck,Medium,Weekday,98
55,16,2350,Urban,Sunny,Truck,High,Weekday,89
59,34,3228,Suburban,Snowy,Truck,Medium,Weekday,94
31,8,1823,Suburban,Sunny,Truck,Medium,Weekday,76
48,20,2480,Suburban,Sunny,Truck,High,Weekend,73
38,19,2449,Urban,Sunny,Truck,Medium,Weekday,94
36,18,2369,Highway,Rainy,Truck,Medium,Weekday,65
33,13,2061,Highway,Sunny,Truck,High,Weekday,57
55,21,2637,Highway,Sunny,Truck,High,Weekend,76
50,22,2673,Urban,Snowy,Truck,Low,Weekday,66
47,8,1808,Highway,Sunny,Truck,Medium,Weekend,87
42,6,1716,Urban,Sunny,Truck,Medium,Weekend,79
40,22,2687,Urban,Rainy,Truck,Medium,Weekday,88
58,25,2706,Highway,Sunny,Truck,Medium,Weekday,80
53,27,2780,Suburban,Sunny,Truck,Medium,Weekday,70
33,12,2083,Urban,Sunny,Truck,Low,Weekday,70
54,10,1980,Highway,Sunny,Truck,Medium,Weekend,82
50,9,1831,Suburban,Sunny,Truck,Low,Weekend,74
58,27,2907,Highway,Sunny,Truck,Medium,Weekday,89
54,16,2295,Suburban,Sunny,Truck,High,Weekday,57
33,7,1761,Suburban,Sunny,Truck,High,Weekend,82
39,15,2255,Urban,Rainy,Truck,Medium,Weekday,65
34,7,1907,Suburban,Sunny,Truck,Low,Weekday,87
38,16,2285,Urban,Sunny,Truck,Medium,Weekday,78
53,16,2334,Urban,Rainy,Truck,Medium,Weekday,72
32,12,2125,Highway,Rainy,Truck,Medium,Weekend,83
46,14,2282,Highway,Sunny,Truck,Medium,Weekday,86
32,12,2013,Suburban,Snowy,Truck,Medium,Weekday,82
45,7,1772,Urban,Sunny,Truck,High,Weekend,77
33,7,1887,Urban,Sunny,Truck,Medium,Weekday,98
47,12,2051,Urban,Rainy,Truck,Medium,Weekend,68
46,14,2198,Urban,Sunny,Truck,High,Weekday,68
36,15,2331,Highway,Sunny,Truck,Medium,Weekday,95
53,12,2074,Urban,Sunny,Truck,Low,Weekend,90
52,24,2669,Suburban,Sunny,Truck,Medium,Weekday,86
59,32,3043,Highway,Sunny,Truck,Medium,Weekday,91
34,13,2089,Highway,Snowy,Truck,High,Weekday,93
41,8,1844,Highway,Sunny,Truck,Medium,Weekday,94
46,18,2483,Urban,Rainy,Truck,Medium,Weekday,57
52,9,1895,Suburban,Sunny,Truck,Medium,Weekend,92
42,9,1874,Highway,Rainy,Truck,Low,Weekend,77
52,24,2682,Highway,Rainy,Truck,High,Weekend,61
54,10,1940,Urban,Rainy,Truck,High,Weekday,59
32,12,2184,Suburban,Sunny,Truck,Medium,Weekday,73
38,16,2220,Urban,Sunny,Truck,Medium,Weekday,75
59,22,2695,Urban,Sunny,Truck,Medium,Weekend,89
46,15,2274,Suburban,Rainy,Truck,High,Weekday,78
46,9,2010,Urban,Rainy,Truck,Low,Weekday,71
59,15,2120,Suburban,Sunny,Truck,Low,Weekend,91
49,19,2419,Suburban,Sunny,Truck,Medium,Weekday,74
45,10,2026,Highway,Sunny,Truck,Medium,Weekday,92
54,14,2197,Highway,Rainy,Truck,Medium,Weekend,87
51,8,1853,Highway,Sunny,Truck,Low,Weekend,95
42,9,1997,Urban,Rainy,Truck,Medium,Weekday,80
56,20,2542,Suburban,Snowy,Truck,Medium,Weekday,70
48,9,1957,Urban,Sunny,Truck,Medium,Weekend,89
46,15,2293,Highway,Sunny,Truck,High,Weekday,64
33,15,2298,Suburban,Sunny,Truck,Low,Weekday,83
41,21,2619,Urban,Sunny,Truck,Medium,Weekday,93
58,16,2353,Highway,Sunny,Truck,Medium,Weekday,73
38,10,2019,Urban,Sunny,Truck,Medium,Weekday,86
48,11,2077,Urban,Rainy,Truck,Medium,Weekday,76
41,14,2196,Suburban,Sunny,Truck,High,Weekday,76
38,18,2356,Highway,Sunny,Truck,Low,Weekday,85
36,5,1722,Highway,Snowy,Truck,High,Weekend,72
57,25,2751,Urban,Rainy,Truck,Medium,Weekend,80
43,7,1683,Highway,Sunny,Truck,Medium,Weekend,93
49,20,2481,Urban,Sunny,Truck,Medium,Weekday,89
48,23,2618,Urban,Sunny,Truck,Medium,Weekday,98
55,24,2727,Urban,Rainy,Truck,High,Weekday,85
44,16,2282,Suburban,Rainy,Truck,High,Weekend,66
45,18,2442,Urban,Rainy,Truck,High,Weekday,85
50,12,2023,Highway,Sunny,Truck,High,Weekday,63
34,13,2156,Urban,Rainy,Truck,High,Weekend,80
32,7,1864,Suburban,Sunny,Truck,Medium,Weekday,88
41,22,2588,Suburban,Sunny,Truck,Medium,Weekday,70
54,17,2325,Highway,Sunny,Truck,Medium,Weekend,71
49,20,2499,Suburban,Sunny,Truck,Low,Weekend,84
56,16,2330,Urban,Sunny,Truck,High,Weekday,86
50,17,2419,Highway,Rainy,Truck,Medium,Weekend,89
33,13,2218,Highway,Snowy,Truck,Low,Weekday,74
50,19,2484,Highway,Sunny,Truck,Low,Weekend,87
52,12,2177,Suburban,Sunny,Truck,Medium,Weekday,91
45,10,2016,Highway,Sunny,Truck,Medium,Weekday,83
54,16,2395,Highway,Sunny,Truck,Medium,Weekday,86
36,7,1778,Suburban,Sunny,Truck,Medium,Weekend,96
42,23,2620,Urban,Snowy,Truck,Medium,Weekday,77
50,14,2185,Highway,Sunny,Truck,Medium,Weekday,70
39,23,2582,Highway,Sunny,Truck,Medium,Weekday,74
55,14,2142,Highway,Sunny,Truck,Low,Weekend,95
36,9,2001,Highway,Rainy,Truck,Medium,Weekday,68
43,22,2560,Urban,Rainy,Truck,Medium,Weekday,91
55,25,2710,Highway,Snowy,Truck,Low,Weekday,83
34,13,2147,Highway,Rainy,Truck,Medium,Weekday,72
32,13,2077,Suburban,Sunny,Truck,Low,Weekday,93
52,25,2835,Urban,Sunny,Truck,Medium,Weekday,72
58,16,2242,Urban,Rainy,Truck,Medium,Weekday,76
40,23,2718,Urban,Sunny,Truck,Medium,Weekday,88
40,18,2444,Urban,Sunny,Truck,High,Weekend,80
47,21,2535,Urban,Sunny,Truck,Medium,Weekday,99
44,9,1958,Urban,Sunny,Truck,High,Weekday,65
41,15,2129,Urban,Sunny,Truck,Medium,Weekend,85
38,8,1897,Suburban,Sunny,Truck,Medium,Weekday,83
39,6,1797,Highway,Rainy,Truck,Medium,Weekend,69
55,16,2397,Suburban,Sunny,Truck,Medium,Weekday,97
41,15,2247,Highway,Sunny,Truck,Medium,Weekday,81
46,25,2714,Suburban,Sunny,Truck,Medium,Weekday,98
58,22,2585,Urban,Sunny,Truck,Low,Weekend,80
35,17,2334,Suburban,Sunny,Truck,Low,Weekday,86
36,13,2054,Highway,Sunny,Truck,Medium,Weekday,77
43,11,1890,Urban,Sunny,Truck,Medium,Weekend,86
42,14,2121,Urban,Sunny,Truck,Medium,Weekday,90
37,22,2611,Suburban,Sunny,Truck,Low,Weekday,94
39,6,1670,Urban,Sunny,Truck,High,Weekday,80
38,16,2218,Urban,Sunny,Truck,High,Weekend,79
47,16,2225,Urban,Sunny,Truck,High,Weekday,66
56,21,2547,Urban,Sunny,Truck,Medium,Weekday,94
55,20,2558,Urban,Rainy,Truck,High,Weekday,81
31,9,1899,Highway,Sunny,Truck,High,Weekday,58
34,14,2230,Suburban,Sunny,Truck,Medium,Weekend,79
58,25,2811,Suburban,Sunny,Truck,Medium,Weekend,79
34,9,1949,Suburban,Rainy,Truck,High,Weekend,72
35,8,1786,Highway,Rainy,Truck,Medium,Weekend,92
48,20,2475,Suburban,Rainy,Truck,Medium,Weekday,70
37,20,2487,Suburban,Rainy,Truck,Low,Weekday,59
45,9,1950,Urban,Sunny,Truck,Low,Weekend,93
42,14,2103,Urban,Rainy,Truck,High,Weekday,72
30,13,2237,Urban,Sunny,Truck,Medium,Weekday,80
51,20,2437,Suburban,Sunny,Truck,Medium,Weekend,92
49,12,2137,Urban,Sunny,Truck,Low,Weekday,92
46,17,2338,Highway,Sunny,Truck,Medium,Weekend,96
36,20,2591,Urban,Snowy,Truck,Medium,Weekday,89
54,14,2162,Suburban,Sunny,Truck,Medium,Weekday,94
42,9,1843,Suburban,Rainy,Truck,High,Weekday,72
33,19,2541,Suburban,Sunny,Truck,Low,Weekday,74
33,6,1647,Urban,Sunny,Truck,Medium,Weekend,75
35,18,2434,Highway,Sunny,Truck,Medium,Weekday,70
57,22,2520,Highway,Sunny,Truck,Medium,Weekday,75
48,11,1907,Highway,Rainy,Truck,High,Weekday,76
58,24,2792,Highway,Sunny,Truck,High,Weekday,86
41,12,2048,Urban,Sunny,Truck,High,Weekday,68
51,16,2220,Highway,Rainy,Truck,Low,Weekend,81
36,12,2109,Urban,Sunny,Truck,Low,Weekday,94
56,19,2443,Suburban,Snowy,Truck,Medium,Weekend,89
39,8,1837,Urban,Sunny,Truck,Medium,Weekend,84
55,15,2222,Suburban,Sunny,Truck,High,Weekday,84
48,22,2590,Urban,Sunny,Truck,High,Weekday,63
36,8,1813,Highway,Sunny,Truck,High,Weekend,78
59,21,2556,Urban,Sunny,Truck,High,Weekday,85
32,8,1721,Highway,Rainy,Truck,High,Weekday,74
42,21,2604,Urban,Rainy,Truck,Medium,Weekday,61
42,8,1821,Urban,Rainy,Truck,Medium,Weekend,85
47,21,2625,Highway,Sunny,Truck,Medium,Weekend,75
57,16,2256,Highway,Sunny,Truck,Low,Weekend,91
59,17,2277,Urban,Sunny,Truck,Low,Weekday,72
55,12,2025,Suburban,Sunny,Truck,Medium,Weekday,79
49,10,1945,Suburban,Rainy,Truck,High,Weekday,56
57,23,2740,Suburban,Sunny,Truck,Low,Weekday,97
37,9,1858,Highway,Sunny,Truck,High,Weekday,69
58,24,2746,Suburban,Sunny,Truck,High,Weekend,62
38,11,2007,Suburban,Snowy,Truck,Medium,Weekend,86
36,10,2099,Urban,Sunny,Truck,Low,Weekday,81
30,13,2093,Suburban,Sunny,Truck,Low,Weekday,75
32,12,2021,Urban,Sunny,Truck,High,Weekday,69
42,8,1791,Suburban,Sunny,Truck,High,Weekday,74
57,12,1939,Suburban,Sunny,Truck,High,Weekend,73
59,9,1949,Highway,Sunny,Truck,Medium,Weekend,87
54,26,2879,Urban,Rainy,Truck,Low,Weekday,67
57,26,2722,Suburban,Sunny,Truck,Low,Weekday,76
46,13,2104,Highway,Rainy,Truck,High,Weekday,72
54,29,2972,Urban,Snowy,Truck,Low,Weekday,64
53,27,2927,Suburban,Rainy,Truck,Medium,Weekday,77
30,13,2220,Urban,Sunny,Truck,Medium,Weekday,70
35,19,2496,Highway,Sunny,Truck,Low,Weekday,82
50,11,2066,Urban,Rainy,Truck,Medium,Weekend,79
35,8,1850,Highway,Rainy,Truck,Medium,Weekday,65
55,16,2210,Urban,Sunny,Truck,Medium,Weekday,95
41,9,1861,Highway,Rainy,Truck,Low,Weekday,82
42,13,2090,Urban,Sunny,Truck,High,Weekday,79
42,19,2346,Urban,Sunny,Truck,High,Weekday,67
58,12,2151,Suburban,Sunny,Truck,Medium,Weekday,92
44,8,1746,Urban,Sunny,Truck,High,Weekday,86
50,19,2513,Urban,Sunny,Truck,Medium,Weekday,78
45,20,2460,Urban,Rainy,Truck,Medium,Weekend,69
51,12,2043,Highway,Sunny,Truck,High,Weekday,85
50,16,2208,Urban,Sunny,Truck,High,Weekend,64
40,6,1742,Highway,Sunny,Truck,High,Weekday,61
57,14,2146,Suburban,Sunny,Truck,Low,Weekday,84
34,20,2542,Highway,Sunny,Truck,Low,Weekday,72
33,15,2272,Urban,Rainy,Truck,High,Weekday,66
32,4,1622,Urban,Rainy,Truck,Medium,Weekend,70
48,21,2511,Urban,Rainy,Truck,Medium,Weekend,62
49,17,2303,Highway,Rainy,Truck,High,Weekend,88
54,23,2742,Urban,Sunny,Truck,High,Weekend,67
47,13,2034,Urban,Sunny,Truck,High,Weekday,78
44,17,2379,Suburban,Sunny,Truck,Medium,Weekday,82
38,12,1940,Urban,Sunny,Truck,High,Weekday,83
46,16,2276,Urban,Snowy,Truck,Low,Weekend,86
43,8,1872,Urban,Sunny,Truck,Low,Weekend,79
44,9,1958,Urban,Sunny,Truck,Medium,Weekday,75
30,7,1666,Urban,Rainy,Truck,Low,Weekend,78
50,24,2626,Urban,Snowy,Truck,Medium,Weekday,80
51,14,2213,Highway,Rainy,Truck,Medium,Weekday,75
51,23,2656,Highway,Sunny,Truck,Medium,Weekday,87
32,18,2339,Highway,Sunny,Truck,Low,Weekday,76
45,8,1854,Highway,Sunny,Truck,Medium,Weekend,84
52,24,2728,Urban,Sunny,Truck,Medium,Weekday,87
54,20,2407,Urban,Sunny,Truck,Medium,Weekday,87
40,16,2295,Highway,Sunny,Truck,High,Weekday,79
41,8,1898,Suburban,Snowy,Truck,High,Weekday,67
