ID,Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,CUSTOMER_SATISFACTION,AVERAGE_SPEED,Miles Driven,FUEL_CONSUMPTION
721,34,14,2226,Suburban,Snowy,Truck,Medium,Weekday,66,33.59,1141.91,202.69
722,38,7,1691,Urban,Sunny,Truck,Low,Weekend,85,29.95,1138.22,205.25
723,53,15,2135,Urban,Sunny,Truck,Medium,Weekend,89,29.35,1555.68,298.81
724,32,6,1737,Suburban,Sunny,Truck,High,Weekday,84,35.85,1147.18,194.68
725,46,17,2358,Highway,Rainy,Truck,Medium,Weekend,64,53.09,2442.02,347.35
726,32,12,2069,Urban,Sunny,Truck,High,Weekday,74,23.56,753.94,137.66
727,45,10,2075,Highway,Sunny,Truck,Low,Weekday,96,64.09,2883.88,445.96
728,33,10,1908,Urban,Rainy,Truck,Medium,Weekend,82,26.35,869.6,162.15
729,47,24,2749,Highway,Sunny,Truck,Low,Weekday,84,61.91,2909.64,412.13
730,46,26,2713,Suburban,Sunny,Truck,Medium,Weekday,87,43.51,2001.53,334.55
731,36,11,1932,Highway,Snowy,Truck,Medium,Weekend,66,45.41,1634.77,230.4
732,53,30,2928,Suburban,Sunny,Truck,Medium,Weekday,96,44.03,2333.58,409.65
733,52,16,2249,Suburban,Sunny,Truck,Low,Weekend,97,47.97,2494.46,412.95
734,59,21,2587,Urban,Sunny,Truck,Low,Weekday,72,30.35,1790.61,340.51
735,34,18,2498,Urban,Rainy,Truck,Medium,Weekday,68,24.61,836.79,152.18
736,41,12,2003,Suburban,Sunny,Truck,High,Weekday,65,36.63,1501.97,246.6
737,46,17,2328,Highway,Sunny,Truck,Low,Weekday,78,65.98,3035.24,453.42
738,52,16,2245,Highway,Sunny,Truck,Medium,Weekend,72,58.48,3041.03,458.22
739,42,22,2655,Highway,Snowy,Truck,Low,Weekday,82,48.26,2026.95,309.94
740,52,21,2597,Urban,Sunny,Truck,High,Weekday,73,24.08,1252.0,214.27
741,54,15,2178,Highway,Sunny,Truck,Medium,Weekend,72,62.06,3351.4,532.5
742,32,10,1979,Highway,Sunny,Truck,Low,Weekday,88,62.3,1993.6,306.1
743,38,12,2072,Urban,Sunny,Truck,High,Weekend,61,25.13,955.02,187.7
744,59,25,2730,Highway,Rainy,Truck,Medium,Weekday,71,48.87,2883.34,452.04
745,46,10,1922,Highway,Rainy,Truck,High,Weekday,77,42.78,1967.76,313.9
746,46,23,2557,Suburban,Sunny,Truck,Medium,Weekday,71,46.56,2141.67,345.23
747,59,23,2551,Urban,Sunny,Truck,Medium,Weekday,99,31.1,1834.86,326.24
748,49,12,2145,Urban,Sunny,Truck,High,Weekend,76,24.82,1216.27,235.76
749,45,8,1871,Highway,Sunny,Truck,Medium,Weekend,70,62.17,2797.7,386.51
750,54,12,2101,Urban,Rainy,Truck,High,Weekend,66,21.04,1136.32,219.92
751,51,29,2972,Highway,Sunny,Truck,Low,Weekday,85,65.52,3341.36,475.07
752,42,10,1953,Suburban,Sunny,Truck,High,Weekday,70,35.86,1506.07,261.87
753,56,14,2195,Urban,Sunny,Truck,Medium,Weekday,77,31.32,1753.8,330.52
754,48,14,2152,Suburban,Rainy,Truck,Medium,Weekend,61,37.81,1814.88,292.83
755,46,11,1891,Suburban,Rainy,Truck,Medium,Weekend,63,39.12,1799.71,296.53
756,33,7,1885,Urban,Sunny,Truck,Low,Weekday,91,32.16,1061.37,196.31
757,41,13,2236,Urban,Sunny,Truck,Medium,Weekday,70,30.96,1269.47,222.02
758,58,19,2340,Suburban,Snowy,Truck,Medium,Weekend,81,34.55,2004.16,320.7
759,38,15,2339,Urban,Sunny,Truck,Medium,Weekday,99,28.61,1087.03,185.9
760,48,16,2314,Highway,Sunny,Truck,Low,Weekday,71,64.51,3096.32,495.83
761,41,15,2198,Urban,Rainy,Truck,Medium,Weekday,66,24.28,995.66,204.13
762,38,22,2600,Highway,Sunny,Truck,Low,Weekday,93,63.21,2401.96,330.86
763,36,9,1932,Suburban,Sunny,Truck,High,Weekday,63,37.22,1339.93,233.43
764,57,17,2278,Urban,Rainy,Truck,Low,Weekday,78,27.66,1576.47,321.31
765,43,12,2144,Suburban,Sunny,Truck,Low,Weekday,89,48.86,2101.1,368.82
766,49,18,2373,Urban,Rainy,Truck,Medium,Weekday,67,25.76,1262.3,226.13
767,48,19,2433,Suburban,Sunny,Truck,Low,Weekend,70,45.76,2196.29,359.71
768,55,12,2069,Highway,Snowy,Truck,High,Weekday,57,36.03,1981.58,318.95
769,44,16,2209,Urban,Sunny,Truck,Medium,Weekend,89,30.05,1322.14,261.23
770,45,9,1911,Suburban,Rainy,Truck,Medium,Weekday,74,37.58,1691.09,285.02
771,50,14,2097,Suburban,Sunny,Truck,High,Weekday,71,35.73,1786.34,329.81
772,34,13,2195,Urban,Sunny,Truck,Low,Weekend,78,32.67,1110.86,228.45
773,32,8,1816,Highway,Sunny,Truck,Low,Weekend,74,63.11,2019.61,299.01
774,41,17,2261,Urban,Rainy,Truck,Medium,Weekday,85,26.02,1066.91,204.73
775,54,15,2161,Suburban,Sunny,Truck,Medium,Weekday,89,44.98,2428.98,447.43
776,49,19,2511,Highway,Rainy,Truck,High,Weekday,66,41.28,2022.68,308.95
777,56,9,1928,Suburban,Sunny,Truck,High,Weekend,81,34.53,1933.87,296.48
778,50,21,2496,Urban,Rainy,Truck,High,Weekend,69,21.28,1064.0,207.19
779,33,7,1799,Highway,Sunny,Truck,High,Weekday,85,47.69,1573.85,250.96
780,50,21,2556,Suburban,Sunny,Truck,High,Weekday,68,36.89,1844.69,309.43
781,52,13,2103,Highway,Sunny,Truck,High,Weekend,88,48.8,2537.71,413.58
782,45,22,2575,Highway,Sunny,Truck,Low,Weekday,72,64.89,2919.84,430.52
783,54,17,2267,Suburban,Sunny,Truck,Medium,Weekday,94,42.91,2316.97,361.63
784,36,20,2444,Suburban,Rainy,Truck,Medium,Weekday,84,39.92,1436.95,255.08
785,42,10,2010,Highway,Sunny,Truck,Medium,Weekday,71,61.98,2603.1,382.27
786,50,13,2129,Suburban,Rainy,Truck,Low,Weekday,90,41.5,2075.15,320.95
787,39,12,1995,Highway,Sunny,Truck,High,Weekday,74,47.84,1865.84,261.61
788,55,9,1925,Suburban,Sunny,Truck,Medium,Weekend,97,46.33,2548.34,420.28
789,36,10,2076,Suburban,Snowy,Truck,Medium,Weekday,73,34.0,1224.13,219.27
790,43,19,2484,Urban,Sunny,Truck,Medium,Weekend,72,30.01,1290.45,231.6
791,55,25,2871,Highway,Rainy,Truck,Medium,Weekend,72,52.45,2884.92,417.5
792,34,8,1770,Urban,Sunny,Truck,Medium,Weekend,72,30.38,1033.04,182.04
793,32,18,2353,Highway,Sunny,Truck,Medium,Weekday,96,57.46,1838.81,256.34
794,52,16,2304,Urban,Sunny,Truck,High,Weekday,87,23.55,1224.85,221.71
795,58,13,2111,Urban,Sunny,Truck,High,Weekday,75,24.29,1409.0,262.71
796,40,19,2376,Highway,Sunny,Truck,Medium,Weekday,73,62.42,2496.91,378.13
797,40,18,2377,Suburban,Sunny,Truck,Medium,Weekday,90,46.95,1877.94,324.57
798,47,21,2611,Highway,Sunny,Truck,High,Weekday,83,49.63,2332.46,387.74
799,44,13,2211,Urban,Sunny,Truck,Low,Weekday,74,30.73,1351.95,239.93
800,41,19,2437,Highway,Rainy,Truck,Low,Weekday,69,53.41,2189.71,367.02
801,38,8,1987,Suburban,Sunny,Truck,Medium,Weekday,76,44.7,1698.61,310.14
802,39,7,1712,Urban,Rainy,Truck,Medium,Weekend,87,25.34,988.4,189.32
803,55,8,1832,Suburban,Sunny,Truck,High,Weekend,85,34.38,1890.86,290.13
804,41,24,2604,Highway,Rainy,Truck,Medium,Weekday,74,49.34,2022.76,307.52
805,46,23,2672,Highway,Sunny,Truck,Medium,Weekday,97,57.92,2664.3,428.07
806,58,23,2711,Highway,Sunny,Truck,Medium,Weekend,96,60.7,3520.81,494.21
807,35,11,1937,Highway,Sunny,Truck,High,Weekday,79,47.58,1665.18,248.73
808,36,11,2113,Highway,Sunny,Truck,Medium,Weekday,87,58.95,2122.07,330.12
809,43,8,1931,Urban,Rainy,Truck,Medium,Weekend,81,25.36,1090.35,193.57
810,42,10,1879,Urban,Sunny,Truck,Medium,Weekend,84,29.47,1237.85,231.96
811,37,9,1977,Suburban,Snowy,Truck,High,Weekday,75,27.7,1024.72,163.28
812,39,15,2212,Urban,Rainy,Truck,High,Weekday,69,19.72,769.11,150.93
813,38,12,2052,Urban,Sunny,Truck,High,Weekday,78,22.93,871.52,173.53
814,47,10,1973,Suburban,Sunny,Truck,Medium,Weekday,75,45.68,2146.87,360.63
815,56,11,2014,Urban,Snowy,Truck,Low,Weekday,88,22.99,1287.36,247.32
816,55,10,1995,Urban,Sunny,Truck,High,Weekday,66,24.34,1338.92,242.84
817,31,8,1787,Suburban,Rainy,Truck,High,Weekday,59,29.25,906.72,142.87
818,34,19,2416,Suburban,Snowy,Truck,Medium,Weekday,67,32.9,1118.48,172.56
819,58,26,2810,Urban,Rainy,Truck,Medium,Weekday,82,24.62,1427.81,251.31
820,34,17,2408,Urban,Rainy,Truck,Medium,Weekday,82,24.97,848.85,162.33
821,35,13,2174,Urban,Rainy,Truck,Medium,Weekday,78,25.06,877.23,155.38
822,48,12,2057,Suburban,Rainy,Truck,High,Weekend,71,30.59,1468.09,243.23
823,37,9,1896,Suburban,Sunny,Truck,Low,Weekday,72,47.35,1751.77,270.03
824,45,19,2478,Urban,Sunny,Truck,High,Weekend,64,24.31,1094.05,194.55
825,42,21,2628,Suburban,Rainy,Truck,Medium,Weekday,92,37.61,1579.45,283.04
826,30,6,1752,Urban,Snowy,Truck,Low,Weekend,78,23.7,711.02,143.8
827,51,20,2412,Highway,Sunny,Truck,Medium,Weekday,72,62.94,3209.98,482.13
828,49,19,2540,Suburban,Sunny,Truck,Medium,Weekday,82,43.7,2141.2,366.77
829,46,16,2198,Urban,Sunny,Truck,High,Weekend,79,23.17,1065.66,211.38
830,36,16,2295,Highway,Rainy,Truck,Medium,Weekend,71,52.75,1898.89,271.55
831,54,18,2406,Suburban,Sunny,Truck,Medium,Weekend,92,44.6,2408.22,411.63
832,42,17,2368,Urban,Rainy,Truck,Low,Weekday,94,27.7,1163.56,234.92
833,33,7,1880,Urban,Snowy,Truck,Low,Weekday,76,23.45,773.75,150.44
834,33,7,1875,Suburban,Sunny,Truck,Low,Weekday,83,44.99,1484.67,238.99
835,35,7,1788,Suburban,Snowy,Truck,Low,Weekend,82,34.99,1224.79,198.27
836,57,12,2192,Suburban,Snowy,Truck,Medium,Weekday,91,34.12,1944.94,340.32
837,48,23,2598,Urban,Snowy,Truck,Medium,Weekday,68,22.38,1074.34,205.48
838,58,28,2923,Urban,Sunny,Truck,Low,Weekday,95,31.37,1819.57,370.3
839,41,10,2085,Highway,Sunny,Truck,Medium,Weekday,73,62.99,2582.59,358.78
840,51,27,2827,Urban,Rainy,Truck,Low,Weekday,65,26.89,1371.55,263.09
841,36,7,1781,Suburban,Sunny,Truck,High,Weekday,72,36.71,1321.52,202.83
842,56,17,2443,Suburban,Sunny,Truck,Medium,Weekday,82,45.99,2575.69,403.92
843,39,11,2052,Highway,Snowy,Truck,Medium,Weekday,64,42.75,1667.28,261.23
844,55,19,2454,Highway,Rainy,Truck,Medium,Weekday,64,51.27,2819.72,411.26
845,48,11,1997,Suburban,Sunny,Truck,Medium,Weekend,75,47.08,2260.02,378.67
846,36,11,1917,Suburban,Sunny,Truck,High,Weekday,62,36.9,1328.51,202.15
847,59,16,2265,Urban,Rainy,Truck,High,Weekday,62,20.07,1184.39,213.42
848,32,19,2386,Urban,Rainy,Truck,Medium,Weekday,86,25.15,804.95,148.5
849,42,7,1685,Highway,Sunny,Truck,Medium,Weekend,84,58.82,2470.51,364.27
850,42,10,1943,Suburban,Sunny,Truck,Medium,Weekday,77,45.59,1914.61,338.01
851,47,10,1982,Urban,Rainy,Truck,Medium,Weekday,75,24.47,1150.24,221.59
852,57,20,2421,Urban,Sunny,Truck,High,Weekday,83,23.5,1339.27,237.89
853,59,13,2228,Urban,Sunny,Truck,Medium,Weekday,87,29.99,1769.68,357.48
854,55,29,2891,Urban,Sunny,Truck,Low,Weekday,73,31.61,1738.6,335.2
855,49,19,2457,Highway,Sunny,Truck,Medium,Weekday,95,60.64,2971.58,439.72
856,57,18,2330,Suburban,Sunny,Truck,High,Weekend,83,37.07,2112.99,320.4
857,37,12,1977,Suburban,Rainy,Truck,High,Weekday,77,29.57,1094.07,168.04
858,58,12,2035,Suburban,Sunny,Truck,High,Weekday,71,35.01,2030.58,317.34
859,38,8,1784,Suburban,Snowy,Truck,Low,Weekend,64,36.76,1396.76,232.76
860,36,8,1757,Urban,Rainy,Truck,High,Weekend,87,21.08,758.72,132.43
861,30,13,2157,Highway,Rainy,Truck,Low,Weekday,83,55.27,1658.16,248.31
862,32,9,1909,Suburban,Sunny,Truck,Medium,Weekday,89,43.69,1398.04,234.96
863,42,8,1811,Urban,Rainy,Truck,Medium,Weekend,70,24.37,1023.69,200.67
864,57,26,2894,Urban,Snowy,Truck,High,Weekday,60,18.04,1028.4,174.69
865,59,9,1803,Highway,Sunny,Truck,Low,Weekend,91,65.33,3854.54,572.77
866,54,22,2614,Urban,Sunny,Truck,High,Weekday,82,23.37,1261.98,225.78
867,57,29,2855,Urban,Sunny,Truck,Low,Weekday,90,32.77,1868.07,372.69
868,46,11,1901,Highway,Sunny,Truck,High,Weekday,77,46.28,2128.85,327.08
869,54,10,2022,Highway,Sunny,Truck,Medium,Weekend,82,58.79,3174.58,440.1
870,53,10,1957,Urban,Sunny,Truck,High,Weekend,75,23.52,1246.34,219.49
871,30,14,2239,Suburban,Sunny,Truck,Medium,Weekday,78,43.43,1302.9,201.71
872,35,15,2211,Urban,Sunny,Truck,Medium,Weekday,81,31.12,1089.14,205.98
873,50,25,2676,Highway,Rainy,Truck,Medium,Weekday,65,50.55,2527.71,419.35
874,35,16,2207,Urban,Rainy,Truck,Medium,Weekend,84,24.71,864.89,165.07
875,55,26,2789,Suburban,Snowy,Truck,Medium,Weekday,58,32.56,1790.77,306.05
876,41,10,1911,Urban,Sunny,Truck,Low,Weekday,78,31.25,1281.29,247.1
877,42,9,1921,Highway,Sunny,Truck,Medium,Weekend,76,57.1,2398.36,361.46
878,42,17,2315,Suburban,Rainy,Truck,High,Weekday,63,29.44,1236.5,219.6
879,58,16,2343,Highway,Rainy,Truck,Medium,Weekday,57,48.47,2811.19,391.66
880,44,10,2079,Highway,Sunny,Truck,Medium,Weekday,87,57.15,2514.44,352.26
881,50,24,2625,Urban,Sunny,Truck,Medium,Weekday,77,31.49,1574.61,306.19
882,45,12,2101,Urban,Snowy,Truck,High,Weekday,57,17.91,805.86,144.84
883,51,22,2559,Suburban,Sunny,Truck,High,Weekday,85,36.82,1878.03,312.93
884,50,23,2633,Highway,Sunny,Truck,Medium,Weekday,72,61.42,3071.12,489.81
885,40,7,1796,Urban,Sunny,Truck,High,Weekday,93,24.91,996.52,170.96
886,57,26,2874,Urban,Snowy,Truck,Medium,Weekend,64,21.61,1231.68,241.05
887,34,8,1801,Urban,Sunny,Truck,Low,Weekend,90,31.58,1073.75,194.01
888,33,11,2073,Highway,Rainy,Truck,Medium,Weekday,83,50.09,1653.0,258.98
889,32,8,1927,Highway,Sunny,Truck,High,Weekday,67,48.23,1543.45,219.54
890,48,8,1819,Highway,Sunny,Truck,High,Weekend,72,47.19,2265.32,335.16
891,49,15,2218,Urban,Sunny,Truck,High,Weekday,73,23.24,1138.8,197.74
892,54,10,1985,Suburban,Sunny,Truck,Medium,Weekend,76,45.78,2472.0,424.94
893,47,16,2213,Urban,Snowy,Truck,Medium,Weekday,78,21.46,1008.69,207.04
894,44,14,2116,Urban,Rainy,Truck,Low,Weekday,60,27.83,1224.68,240.16
895,38,19,2362,Urban,Sunny,Truck,Low,Weekday,92,30.39,1154.66,201.18
896,46,23,2642,Suburban,Sunny,Truck,Medium,Weekday,72,45.52,2093.83,362.24
897,43,8,1810,Urban,Sunny,Truck,High,Weekday,79,24.61,1058.23,203.3
898,44,15,2182,Highway,Rainy,Truck,Medium,Weekday,69,48.82,2148.16,328.79
899,30,8,1735,Urban,Sunny,Truck,Medium,Weekend,77,31.21,936.3,181.57
900,50,10,1877,Urban,Sunny,Truck,Medium,Weekend,78,29.57,1478.43,257.94
901,51,20,2521,Urban,Sunny,Truck,High,Weekend,72,25.19,1284.8,246.72
902,51,24,2773,Highway,Sunny,Truck,Medium,Weekday,95,57.41,2928.05,434.61
903,32,8,1823,Highway,Sunny,Truck,Medium,Weekday,80,61.3,1961.62,300.16
904,45,12,2061,Suburban,Sunny,Truck,Medium,Weekend,95,43.47,1956.29,340.53
905,52,12,2132,Highway,Sunny,Truck,Medium,Weekday,92,59.42,3089.64,491.18
906,54,24,2724,Urban,Rainy,Truck,Medium,Weekday,68,25.36,1369.18,253.46
907,40,9,1902,Highway,Snowy,Truck,Medium,Weekday,63,44.58,1783.11,286.75
908,41,24,2687,Highway,Sunny,Truck,Medium,Weekday,74,59.03,2420.04,378.35
909,39,19,2447,Highway,Sunny,Truck,Medium,Weekday,85,61.6,2402.53,400.96
910,45,12,2081,Highway,Rainy,Truck,High,Weekday,74,42.11,1894.73,271.33
911,37,12,2019,Highway,Rainy,Truck,High,Weekday,86,40.13,1484.78,247.56
912,35,15,2256,Urban,Sunny,Truck,Medium,Weekend,80,29.95,1048.18,180.66
913,41,13,2193,Urban,Sunny,Truck,High,Weekday,82,23.81,976.3,198.79
914,53,11,1997,Suburban,Rainy,Truck,High,Weekend,79,30.89,1636.97,255.07
915,57,20,2472,Highway,Sunny,Truck,Medium,Weekday,86,57.9,3300.39,486.05
916,50,26,2855,Suburban,Sunny,Truck,Low,Weekday,99,48.69,2434.72,405.3
917,37,16,2305,Suburban,Rainy,Truck,Medium,Weekday,88,39.39,1457.28,261.45
918,55,20,2407,Highway,Sunny,Truck,High,Weekday,82,48.43,2663.87,424.25
919,57,31,2967,Suburban,Rainy,Truck,Medium,Weekday,83,39.19,2233.92,358.68
920,33,18,2463,Highway,Rainy,Truck,Low,Weekday,84,56.17,1853.48,280.15
921,55,31,3085,Urban,Sunny,Truck,Medium,Weekday,86,31.27,1719.71,317.55
922,37,6,1750,Highway,Rainy,Truck,Medium,Weekend,79,51.57,1908.03,311.98
923,55,17,2301,Urban,Sunny,Truck,High,Weekday,77,24.03,1321.5,245.95
924,57,22,2663,Urban,Rainy,Truck,High,Weekday,79,20.47,1166.81,212.24
925,47,23,2642,Urban,Rainy,Truck,Medium,Weekday,80,25.41,1194.5,239.28
926,57,25,2698,Suburban,Sunny,Truck,Low,Weekday,92,47.16,2687.92,409.17
927,57,15,2325,Urban,Sunny,Truck,Medium,Weekday,85,30.7,1749.68,303.95
928,34,13,2088,Urban,Sunny,Truck,Low,Weekend,99,33.05,1123.71,215.98
929,38,18,2364,Suburban,Snowy,Truck,Medium,Weekday,84,32.22,1224.19,201.48
930,33,5,1603,Suburban,Sunny,Truck,High,Weekend,83,35.03,1155.95,190.41
931,56,21,2499,Suburban,Sunny,Truck,Medium,Weekday,90,43.7,2446.97,442.65
932,51,13,2053,Suburban,Snowy,Truck,Medium,Weekday,59,34.87,1778.54,300.13
933,46,12,2041,Highway,Sunny,Truck,Low,Weekend,97,62.49,2874.74,462.6
934,38,7,1833,Urban,Sunny,Truck,Medium,Weekday,96,30.08,1142.87,218.94
935,30,8,1814,Highway,Rainy,Truck,Low,Weekend,83,53.38,1601.54,222.87
936,50,20,2563,Suburban,Snowy,Truck,Medium,Weekday,84,34.94,1747.18,288.24
937,49,21,2551,Highway,Sunny,Truck,Medium,Weekday,82,60.0,2939.92,487.68
938,42,15,2254,Urban,Sunny,Truck,High,Weekday,66,24.4,1024.92,183.48
939,57,24,2727,Highway,Snowy,Truck,Medium,Weekend,74,42.84,2441.75,336.41
940,45,9,1804,Highway,Sunny,Truck,Medium,Weekend,84,60.91,2741.16,444.9
941,58,11,2044,Highway,Sunny,Truck,High,Weekend,80,46.76,2711.88,396.39
942,42,22,2522,Urban,Sunny,Truck,Medium,Weekday,81,31.1,1306.23,227.16
943,43,11,2084,Highway,Sunny,Truck,Medium,Weekday,88,61.51,2644.9,374.94
944,32,18,2419,Urban,Sunny,Truck,Low,Weekday,88,30.27,968.62,172.23
945,58,24,2709,Suburban,Rainy,Truck,High,Weekday,89,29.39,1704.42,262.55
946,35,14,2199,Suburban,Sunny,Truck,Medium,Weekday,84,44.07,1542.4,283.61
947,47,27,2814,Highway,Rainy,Truck,Low,Weekday,82,51.55,2422.66,402.12
948,48,11,2083,Suburban,Sunny,Truck,Medium,Weekday,74,46.08,2211.91,397.72
949,34,8,1730,Suburban,Sunny,Truck,Medium,Weekend,80,47.19,1604.48,294.29
950,44,16,2192,Highway,Sunny,Truck,Low,Weekend,87,63.98,2815.04,461.61
951,54,14,2109,Suburban,Rainy,Truck,High,Weekend,73,29.83,1610.93,252.48
952,31,17,2428,Suburban,Sunny,Truck,Medium,Weekday,97,45.29,1403.97,216.8
953,39,8,1899,Urban,Sunny,Truck,Medium,Weekday,95,30.92,1205.76,230.86
954,53,22,2601,Highway,Snowy,Truck,Medium,Weekday,69,47.08,2495.24,346.39
955,59,25,2822,Urban,Snowy,Truck,Medium,Weekday,84,21.39,1261.8,237.54
956,47,16,2260,Suburban,Sunny,Truck,Low,Weekend,88,47.36,2226.01,397.05
957,56,12,2005,Highway,Sunny,Truck,Medium,Weekend,89,59.72,3344.28,488.98
958,42,11,1980,Urban,Rainy,Truck,High,Weekend,79,20.23,849.47,159.86
959,34,14,2167,Urban,Rainy,Truck,High,Weekday,74,20.41,693.87,142.16
960,52,14,2195,Urban,Snowy,Truck,Medium,Weekday,65,22.28,1158.71,196.27
961,53,28,2952,Urban,Sunny,Truck,Medium,Weekday,92,29.53,1565.2,284.29
962,30,9,1808,Urban,Sunny,Truck,Medium,Weekend,72,28.84,865.33,156.7
963,51,20,2415,Suburban,Rainy,Truck,High,Weekday,74,30.6,1560.58,237.2
964,30,11,1938,Suburban,Sunny,Truck,High,Weekday,89,37.16,1114.67,174.16
965,47,13,2202,Urban,Rainy,Truck,Low,Weekday,63,25.72,1208.68,230.15
966,44,18,2472,Urban,Rainy,Truck,Low,Weekday,73,27.41,1206.2,245.9
967,46,20,2470,Urban,Sunny,Truck,High,Weekend,58,23.44,1078.36,211.44
968,40,14,2222,Suburban,Sunny,Truck,Low,Weekday,97,46.69,1867.55,320.78
969,50,23,2574,Urban,Sunny,Truck,High,Weekday,70,25.17,1258.57,213.42
970,55,16,2162,Urban,Sunny,Truck,High,Weekend,81,24.42,1343.13,230.79
971,54,10,1939,Suburban,Sunny,Truck,High,Weekday,67,36.79,1986.6,366.14
972,51,14,2150,Suburban,Snowy,Truck,Low,Weekend,76,35.8,1825.82,277.28
973,56,25,2759,Highway,Sunny,Truck,Medium,Weekend,90,58.93,3300.31,525.58
974,56,18,2444,Urban,Sunny,Truck,Medium,Weekday,94,30.53,1709.42,300.03
975,46,20,2442,Urban,Sunny,Truck,High,Weekday,73,23.9,1099.28,220.48
976,42,18,2367,Suburban,Sunny,Truck,Medium,Weekend,73,46.49,1952.76,344.74
977,30,10,2004,Highway,Sunny,Truck,Medium,Weekday,87,60.43,1812.79,274.37
978,31,7,1930,Urban,Rainy,Truck,Low,Weekday,68,27.5,852.54,151.7
979,38,14,2144,Urban,Rainy,Truck,Medium,Weekend,71,26.39,1002.77,191.62
980,32,8,1875,Highway,Sunny,Truck,High,Weekday,62,49.54,1585.32,223.51
981,30,12,2028,Urban,Sunny,Truck,High,Weekday,78,23.77,712.95,121.35
982,50,14,2172,Urban,Sunny,Truck,High,Weekend,82,23.69,1184.25,237.21
983,45,13,2049,Urban,Sunny,Truck,High,Weekend,82,24.89,1119.86,198.7
984,52,26,2715,Urban,Sunny,Truck,Medium,Weekday,72,28.93,1504.32,300.72
985,35,9,1818,Urban,Rainy,Truck,Medium,Weekend,86,24.94,872.81,166.95
986,57,21,2526,Urban,Rainy,Truck,Medium,Weekday,69,24.53,1398.41,243.41
987,46,16,2241,Urban,Snowy,Truck,Medium,Weekday,85,21.47,987.61,189.08
988,34,11,2003,Highway,Rainy,Truck,Medium,Weekday,76,51.59,1754.09,245.75
989,34,10,1872,Highway,Sunny,Truck,High,Weekday,68,49.92,1697.41,261.82
990,35,18,2413,Suburban,Sunny,Truck,Medium,Weekday,89,43.33,1516.63,262.77
991,32,8,1788,Urban,Sunny,Truck,High,Weekday,66,24.71,790.71,133.38
992,50,16,2337,Suburban,Rainy,Truck,High,Weekday,80,30.23,1511.54,254.91
993,52,19,2441,Urban,Sunny,Truck,Low,Weekend,84,31.87,1657.35,292.81
994,34,10,2065,Highway,Rainy,Truck,Low,Weekday,63,54.96,1868.72,277.62
995,50,12,2097,Suburban,Sunny,Truck,High,Weekend,91,36.76,1837.81,325.68
996,34,19,2537,Highway,Snowy,Truck,Medium,Weekday,59,43.37,1474.42,223.38
997,39,15,2213,Suburban,Sunny,Truck,High,Weekend,82,34.62,1350.0,245.77
998,39,16,2302,Highway,Sunny,Truck,Medium,Weekday,95,62.55,2439.26,354.77
999,48,17,2318,Urban,Rainy,Truck,High,Weekday,85,19.54,938.02,173.05
1000,46,7,1821,Highway,Sunny,Truck,High,Weekday,79,46.65,2145.82,351.69
1001,50,22,2639,Suburban,Rainy,Truck,Medium,Weekday,69,38.01,1900.71,300.74
1002,43,13,2071,Suburban,Sunny,Truck,Medium,Weekend,95,46.44,1997.12,313.74
1003,38,15,2310,Highway,Rainy,Truck,Medium,Weekday,66,51.52,1957.89,283.4
1004,43,14,2255,Highway,Sunny,Truck,Low,Weekday,97,63.45,2728.28,428.01
1005,30,6,1820,Highway,Sunny,Truck,Medium,Weekday,78,61.15,1834.55,266.09
1006,48,13,2052,Suburban,Rainy,Truck,Medium,Weekday,91,39.41,1891.48,310.42
1007,42,19,2477,Urban,Sunny,Truck,High,Weekday,78,23.36,981.04,180.09
1008,42,12,1982,Urban,Sunny,Truck,High,Weekend,77,22.85,959.51,172.55
1009,33,9,1835,Highway,Rainy,Truck,High,Weekday,70,39.28,1296.21,191.41
1010,59,13,2243,Suburban,Snowy,Truck,Low,Weekday,85,34.25,2020.8,317.79
1011,30,6,1767,Urban,Sunny,Truck,Low,Weekday,77,30.05,901.53,152.16
1012,46,17,2351,Suburban,Sunny,Truck,High,Weekday,88,36.89,1696.99,270.59
1013,37,12,2091,Suburban,Rainy,Truck,High,Weekday,68,31.78,1175.78,198.27
1014,31,9,1916,Highway,Rainy,Truck,Medium,Weekend,65,52.07,1614.3,246.48
1015,57,16,2241,Urban,Snowy,Truck,Medium,Weekday,86,21.8,1242.57,254.02
1016,37,18,2461,Urban,Sunny,Truck,Medium,Weekday,77,30.32,1121.82,222.91
1017,36,7,1748,Urban,Sunny,Truck,High,Weekday,73,24.05,865.78,169.55
1018,55,12,2068,Highway,Sunny,Truck,High,Weekend,78,49.54,2724.47,375.93
1019,55,21,2550,Suburban,Sunny,Truck,Low,Weekday,75,49.34,2713.69,429.67
1020,31,7,1818,Suburban,Sunny,Truck,Medium,Weekend,85,46.09,1428.89,256.54
1021,51,15,2273,Suburban,Sunny,Truck,Low,Weekday,99,47.31,2412.77,402.26
1022,51,18,2295,Suburban,Sunny,Truck,High,Weekday,93,36.04,1838.03,324.96
1023,32,11,1971,Urban,Sunny,Truck,High,Weekday,72,24.74,791.64,152.78
1024,56,23,2617,Urban,Rainy,Truck,High,Weekday,84,19.63,1099.28,199.4
1025,47,17,2347,Highway,Rainy,Truck,Medium,Weekday,64,49.23,2313.9,343.78
