DRIVER_NUMBER,ROW_RANK,NAT,LEG_KEY,LEG_STOP_KEY,SHP_ID,ORD_NUM,STOP_NUM,STOP_TYPE,PWR_UNT_ID,TRL_UNT_ID,TRL_TYPE,ITINERARY_UPDATED,MILES_DRIVEN,FUEL_CONSUMPTION,AVERAGE_SPEED,TIME_AT_STOP,INCIDENTS,CUSTOMER_SATISFACTION
23225,9,2024-03-09 19:28:09,ST035918852_7,ST956647139_0_9,ST475026157,2548025168,3,P,53804,TA889509,Type B,2024-04-08 04:33:54,147.94,54.25,47.71,58,None,5
23225,9,2024-03-08 13:40:21,ST597166412_6,ST591416049_3_6,ST458492296,2765204604,9,NFR,50029,TA372299,Type A,2024-02-11 16:17:33,407.78,49.27,71.31,51,Mechanical Issue,4
23225,6,2024-03-07 07:55:04,ST201467226_6,ST378219265_6_2,ST683065110,2902467769,10,NFR,57727,TA991456,Type B,2024-01-25 22:00:28,88.25,33.09,40.7,105,None,4
23225,5,2024-02-13 23:01:43,ST409983924_2,ST299697020_8_4,ST720162858,2363041230,1,NFR,51460,TA730954,,2024-01-23 10:48:35,274.39,49.25,44.15,101,Accident,5
23225,10,2024-02-06 19:18:25,ST158212486_5,ST192085025_9_3,ST992005570,2180390443,7,NFR,52459,TA285556,Type A,2024-03-09 22:49:14,62.66,10.65,63.1,46,None,1
23225,5,2024-02-18 06:37:13,ST763026907_3,ST779669340_4_7,ST337989093,2591320997,10,NFR,58323,TA199142,Type B,2024-01-08 03:02:27,130.27,55.19,71.74,103,Accident,4
23225,3,2024-04-02 21:56:10,ST069092981_4,ST692834067_7_5,ST864136673,2523527132,1,NFR,55280,TA489069,Type B,2024-04-03 16:05:33,71.81,15.36,63.56,53,None,5
85227,4,2024-03-07 21:04:18,ST771432962_6,ST004345032_8_9,ST640005492,2803563431,7,NFR,52818,TA434868,,2024-03-20 05:55:24,368.05,34.0,69.6,105,None,1
85227,4,2024-04-02 02:31:36,ST455573763_2,ST934560142_2_5,ST990887079,2176749343,6,NFR,52968,TA243385,Type A,2024-02-05 05:38:49,304.15,46.61,77.08,54,None,4
85227,10,2024-02-07 20:35:45,ST484278325_6,ST701421326_0_1,ST966269177,2696108981,6,D,55901,TA007969,,2024-03-06 20:41:07,209.24,41.76,77.79,118,None,4
85227,8,2024-01-13 20:48:04,ST753546261_8,ST599758595_6_3,ST695939208,2972896662,9,P,57654,TA014485,Type B,2024-02-15 10:26:14,466.84,56.28,55.02,48,None,4
85227,2,2024-01-29 06:19:24,ST565159017_9,ST742605184_3_0,ST612454240,2329913017,2,P,58495,TA657316,Type A,2024-03-17 02:46:39,322.47,40.32,71.08,73,None,3
85227,9,2024-01-08 13:43:36,ST261047111_9,ST898957968_9_1,ST990311569,2912026368,9,NFR,53858,TA012851,Type A,2024-01-25 01:28:04,153.36,22.21,70.65,86,None,4
85227,1,2024-01-28 01:03:53,ST108843885_6,ST137829413_6_6,ST083202215,2457756116,9,NFR,57876,TA089493,Type B,2024-03-12 14:42:38,438.17,57.48,71.74,53,Accident,4
85227,2,2024-02-06 11:51:05,ST950854242_3,ST370275011_1_0,ST457739883,2872379587,5,D,54809,TA447904,,2024-01-12 07:47:49,74.68,56.94,43.24,117,None,1
85227,9,2024-02-11 22:29:39,ST438020369_3,ST073181602_9_9,ST594292937,2647666955,5,D,52965,TA980555,Type B,2024-03-04 19:30:01,377.8,46.63,57.99,111,None,4
85227,10,2024-03-08 15:13:15,ST763930823_8,ST416205912_3_1,ST379778904,2998588376,6,D,50536,TA224193,Type B,2024-03-18 03:29:33,111.69,53.36,60.9,38,None,4
83833,2,2024-03-10 19:50:45,ST387648691_7,ST054371248_3_7,ST791192212,2717243882,7,D,57777,TA252869,Type B,2024-02-27 23:06:32,222.91,27.36,43.06,111,None,1
83833,5,2024-02-05 20:28:28,ST099058347_8,ST193882710_2_1,ST575293990,2998280375,4,P,50874,TA615154,Type B,2024-03-16 17:30:52,69.41,24.96,46.12,85,Mechanical Issue,1
83833,6,2024-01-11 00:30:40,ST178475765_1,ST389884133_7_4,ST874409399,2468498333,7,D,55736,TA908094,Type A,2024-02-05 08:21:12,245.9,18.8,76.08,59,None,2
83833,10,2024-02-02 13:54:49,ST270131819_6,ST573864116_6_7,ST541255881,2132081198,9,P,59136,TA085244,,2024-01-09 15:48:47,207.95,44.28,41.42,48,Minor Traffic Violation,5
83833,5,2024-03-28 16:40:58,ST955611094_5,ST600476024_1_1,ST634340522,2946556271,7,NFR,51364,TA958063,Type A,2024-02-28 11:09:02,401.11,38.55,58.21,104,Minor Traffic Violation,1
83833,8,2024-02-11 08:50:43,ST199118626_9,ST744422864_7_9,ST785639644,2135975159,3,D,50116,TA301388,Type A,2024-02-19 04:20:02,490.7,48.19,49.58,53,None,1
83833,8,2024-02-24 13:52:35,ST120522860_1,ST694227996_3_0,ST951505484,2025968277,9,P,56142,TA169048,Type B,2024-01-16 21:08:28,279.92,29.16,75.11,82,None,4
83833,8,2024-02-06 11:08:13,ST274197023_2,ST003854741_8_8,ST654656501,2169327224,3,D,57526,TA645957,Type B,2024-02-12 20:51:07,278.79,53.13,61.52,50,None,3
83833,7,2024-02-19 23:46:15,ST222893209_4,ST492911851_5_5,ST576248920,2299817045,1,NFR,58312,TA555473,Type A,2024-03-28 11:57:03,127.8,15.38,61.02,111,None,2
83833,7,2024-02-26 11:35:33,ST562143091_9,ST855129905_9_2,ST292933169,2975163641,9,D,57397,TA917039,,2024-02-10 19:43:56,271.85,40.19,41.04,63,None,4
39974,3,2024-01-12 16:31:12,ST147882671_1,ST036500306_0_3,ST809068773,2888204322,9,NFR,50097,TA327169,,2024-02-28 11:17:46,169.38,49.09,73.43,83,None,1
39974,6,2024-03-03 01:33:10,ST657018611_3,ST717099723_4_6,ST018197224,2410235262,10,P,53273,TA092288,,2024-03-31 02:53:46,268.66,31.42,72.74,37,None,5
39974,7,2024-03-08 20:27:44,ST628724662_2,ST546381532_7_7,ST140883444,2377360503,6,P,58044,TA182681,Type A,2024-03-29 20:12:28,194.02,52.81,58.28,95,None,5
39974,1,2024-02-28 03:45:33,ST464240462_9,ST036126720_9_3,ST299101371,2182131688,8,NFR,58056,TA023519,Type B,2024-03-26 23:37:32,224.79,10.43,59.84,58,None,4
39974,10,2024-03-31 05:35:01,ST721722928_7,ST529970719_2_5,ST361209738,2061151260,5,D,51748,TA607259,,2024-02-22 01:18:54,401.64,19.02,57.02,91,None,2
39974,2,2024-03-25 21:20:35,ST012580672_6,ST717875485_6_9,ST392618296,2270305136,4,P,56881,TA764691,,2024-02-15 06:17:05,263.35,57.54,42.61,116,None,5
39974,6,2024-03-14 05:37:18,ST631314354_3,ST869006078_8_2,ST960427762,2494239800,9,D,52337,TA982153,,2024-02-07 07:28:28,295.16,47.95,65.53,48,None,1
39974,8,2024-03-04 11:31:11,ST058617687_6,ST409768910_9_9,ST786267115,2954610147,2,NFR,54280,TA762014,Type A,2024-02-29 00:28:05,474.76,20.72,54.2,94,None,5
39974,5,2024-03-09 05:32:49,ST519560787_8,ST515977626_3_8,ST899695815,2861771073,1,D,55190,TA245856,Type B,2024-01-24 19:39:38,94.21,29.84,71.92,91,None,2
39974,8,2024-01-07 08:38:20,ST195015991_4,ST210130625_7_6,ST842093989,2151539414,3,D,57225,TA237029,Type B,2024-01-27 20:02:58,80.45,54.28,47.4,26,Minor Traffic Violation,3
57281,4,2024-02-07 09:33:18,ST718520962_3,ST662945535_5_0,ST767094688,2014937774,6,NFR,55472,TA555885,Type A,2024-02-02 04:31:04,214.53,54.45,79.08,87,None,1
57281,5,2024-03-06 12:23:29,ST334985484_8,ST304744926_8_7,ST487709420,2348256853,7,D,58116,TA574687,Type B,2024-01-01 20:12:06,239.82,11.46,48.52,68,None,4
57281,7,2024-01-09 09:49:09,ST634983497_9,ST749054101_7_2,ST286010087,2447349356,10,D,53157,TA456595,,2024-01-14 12:59:56,182.44,30.32,73.66,76,None,4
57281,7,2024-02-29 20:30:57,ST202300547_9,ST417582843_2_4,ST036044529,2025064304,5,P,51436,TA233485,Type B,2024-02-20 09:05:48,472.36,48.42,56.31,102,None,4
57281,3,2024-03-22 22:07:52,ST505928157_7,ST397463163_9_1,ST640725761,2616510245,10,NFR,52138,TA831220,,2024-01-28 03:48:11,256.53,59.85,57.12,104,None,5
57281,2,2024-03-25 12:43:56,ST056325993_7,ST651107442_5_5,ST249227860,2637219486,10,D,57390,TA275465,,2024-03-28 03:30:42,499.18,33.36,79.38,116,None,3
57281,5,2024-02-06 16:45:15,ST267896108_7,ST717782254_8_8,ST996747313,2469411579,10,D,54576,TA134614,Type B,2024-01-27 08:12:37,498.0,25.87,76.34,62,Minor Traffic Violation,5
57281,4,2024-01-02 16:45:51,ST878998672_3,ST534561892_0_4,ST634058038,2413134258,1,NFR,50589,TA726357,Type B,2024-04-02 22:06:24,163.06,54.86,51.35,49,None,2
57281,9,2024-01-24 12:24:06,ST011356197_8,ST441510292_5_9,ST180015628,2530097101,3,P,54573,TA820150,Type A,2024-03-02 18:34:59,113.77,23.19,54.99,112,Minor Traffic Violation,1
57281,7,2024-01-03 21:36:21,ST147069108_7,ST629996707_5_5,ST384559690,2272919743,2,D,50220,TA643010,,2024-02-29 19:44:07,95.48,55.17,79.8,26,None,2
47972,8,2024-01-06 16:22:32,ST168463387_5,ST446390236_6_7,ST235664274,2017052100,7,NFR,51366,TA858552,Type A,2024-02-10 00:45:51,115.6,44.36,70.07,64,None,3
47972,2,2024-01-01 15:53:00,ST524059775_3,ST693118133_7_5,ST299450762,2427307616,3,P,53026,TA710515,Type A,2024-02-08 19:59:38,236.77,43.94,50.9,23,None,3
47972,3,2024-03-12 04:36:35,ST401210135_2,ST582759724_4_9,ST656258256,2026983791,4,D,58531,TA117036,Type A,2024-04-04 12:29:25,99.79,16.45,67.95,115,None,3
47972,2,2024-01-09 05:42:02,ST116498774_8,ST686001520_3_2,ST045503092,2850881383,7,D,59897,TA143049,,2024-03-20 20:21:14,72.31,59.26,47.52,21,None,3
47972,3,2024-03-03 17:03:12,ST589008424_9,ST008542702_1_1,ST982541958,2230914715,10,NFR,57410,TA286297,Type A,2024-01-04 05:11:06,186.38,37.32,47.36,87,None,3
47972,4,2024-03-27 17:30:19,ST529898889_5,ST840365011_9_8,ST380535985,2673113371,7,D,57653,TA679141,,2024-03-31 23:45:10,429.71,28.04,52.6,65,None,3
47972,1,2024-03-16 05:28:28,ST420664873_6,ST705953642_1_8,ST597183670,2539105590,6,D,51301,TA878103,Type A,2024-01-31 22:56:20,331.95,44.3,54.36,72,Accident,1
47972,7,2024-01-05 02:45:45,ST049782378_3,ST559527334_5_6,ST419785992,2184542134,8,NFR,52112,TA695374,,2024-01-26 12:14:53,264.88,42.7,49.92,55,None,4
47972,6,2024-04-04 12:53:36,ST707631729_0,ST259268102_7_0,ST107029348,2578224048,7,P,59622,TA636624,Type A,2024-02-23 10:00:55,230.09,44.13,53.25,112,None,2
47972,9,2024-01-26 00:13:14,ST467665076_4,ST041419663_8_4,ST251569565,2117358553,2,NFR,53096,TA702655,Type A,2024-03-26 18:54:21,78.51,41.48,58.72,62,None,1
10038,1,2024-02-24 06:31:04,ST583728369_2,ST271860056_3_7,ST663856135,2312716407,4,P,51479,TA096141,Type A,2024-03-05 15:29:02,318.0,47.99,55.68,38,None,3
10038,10,2024-02-24 07:33:50,ST361902495_6,ST738222268_4_5,ST724654659,2367448667,2,P,55903,TA840509,Type A,2024-03-02 17:17:16,475.5,58.45,55.75,63,None,2
10038,2,2024-03-13 01:54:24,ST334764356_9,ST573880367_2_9,ST292102784,2688333849,6,D,51593,TA383155,Type A,2024-04-03 00:25:02,473.34,45.36,56.42,36,None,4
10038,5,2024-04-01 02:54:44,ST161523375_4,ST583676410_7_0,ST893035646,2880833938,1,D,53871,TA662491,Type B,2024-01-18 03:33:34,170.93,50.91,71.81,66,None,4
10038,7,2024-02-25 06:25:07,ST772748144_5,ST841312390_1_7,ST604056489,2915365092,3,P,50543,TA911043,Type B,2024-01-09 22:41:46,489.3,51.24,79.01,41,None,4
10038,6,2024-02-03 23:01:33,ST783987899_5,ST193628752_9_9,ST317836745,2410030882,8,NFR,55836,TA143004,Type B,2024-02-18 08:43:45,192.95,25.8,79.8,66,None,3
10038,7,2024-02-01 10:20:32,ST219601868_9,ST714709796_9_4,ST855366063,2290519403,6,P,56923,TA275992,,2024-03-05 03:42:49,119.39,26.65,76.56,56,None,5
10038,8,2024-01-02 14:14:54,ST062856682_1,ST654790420_6_5,ST876995375,2835992876,7,NFR,59900,TA121216,,2024-03-05 05:32:55,362.78,17.77,55.53,43,Mechanical Issue,2
10038,1,2024-02-07 14:01:16,ST410213524_8,ST396927647_1_2,ST285108809,2396733106,9,NFR,55603,TA108347,,2024-01-24 19:45:12,446.22,51.87,78.14,26,Minor Traffic Violation,5
10038,4,2024-01-01 20:18:29,ST100203780_8,ST564351460_8_3,ST631745237,2651795925,7,D,58430,TA951114,Type B,2024-02-27 08:58:42,86.81,45.84,64.75,75,None,5
32605,7,2024-04-05 05:10:09,ST750712530_7,ST887232770_0_8,ST954000487,2004268642,2,P,53463,TA165041,Type A,2024-02-12 19:38:01,467.38,15.56,45.75,101,None,4
32605,2,2024-02-02 20:33:03,ST163435456_9,ST757281580_0_6,ST537250114,2929175066,2,NFR,54491,TA865536,Type B,2024-01-10 12:48:18,285.81,59.88,51.64,100,Minor Traffic Violation,5
32605,5,2024-02-08 04:20:01,ST061549077_3,ST733656533_7_1,ST707045559,2224528423,3,D,50232,TA275793,Type A,2024-01-10 17:04:14,387.65,56.21,79.67,21,None,5
32605,1,2024-03-30 07:01:56,ST956040014_1,ST021535179_7_6,ST408935068,2450122875,5,D,53563,TA823906,Type B,2024-02-15 06:22:32,56.5,31.74,52.72,66,None,1
32605,4,2024-04-04 22:21:54,ST436281767_9,ST923784624_1_6,ST841797655,2544246556,1,NFR,56914,TA767699,Type B,2024-03-11 14:35:46,459.53,27.4,67.26,77,None,2
32605,1,2024-03-14 09:46:03,ST168019980_4,ST405509108_5_8,ST452350987,2570674560,10,D,53605,TA620967,,2024-02-16 01:15:57,375.15,45.19,40.65,85,Accident,1
32605,3,2024-01-26 17:44:52,ST794811359_4,ST731577496_5_2,ST630403580,2526849174,8,P,57104,TA041648,Type A,2024-03-07 20:55:32,237.12,37.79,74.03,91,None,1
32605,3,2024-02-06 18:40:23,ST845422306_0,ST989161479_0_6,ST919266881,2220078481,10,P,56195,TA215650,Type A,2024-03-22 00:34:06,453.56,27.54,69.63,74,None,4
32605,2,2024-01-31 18:13:32,ST496359320_4,ST454197025_8_7,ST585457409,2268218069,1,NFR,56916,TA074906,Type A,2024-01-15 13:54:28,306.05,21.33,72.95,92,None,3
32605,8,2024-03-22 16:00:43,ST410726328_9,ST858082182_7_7,ST381564394,2893563122,5,P,56394,TA039008,Type A,2024-02-05 02:02:17,116.53,16.36,61.48,20,None,3
34967,10,2024-01-01 06:30:43,ST134982215_1,ST254548997_4_1,ST353740186,2578732537,3,D,56041,TA420787,Type A,2024-04-05 07:47:45,493.34,50.56,55.03,15,None,1
34967,9,2024-02-24 07:22:15,ST110798623_5,ST347959983_6_5,ST625446615,2299428653,10,P,53697,TA476206,,2024-02-25 08:26:07,419.42,55.9,50.09,16,Minor Traffic Violation,2
34967,2,2024-02-26 11:23:57,ST742207055_0,ST850021134_3_6,ST389944950,2467324939,8,P,51115,TA321687,Type B,2024-01-16 13:37:01,190.15,39.66,66.61,61,None,3
34967,7,2024-01-19 04:06:18,ST171379612_3,ST958261948_0_7,ST885144654,2936688657,7,P,56705,TA764696,,2024-03-28 05:24:13,430.93,25.64,79.67,98,None,1
34967,8,2024-02-20 10:17:56,ST137198521_7,ST374334260_4_7,ST599141692,2223126159,10,D,56806,TA359560,,2024-03-04 08:34:58,77.36,14.11,68.95,107,None,5
34967,9,2024-01-28 05:03:16,ST134863506_9,ST047062147_3_0,ST242145731,2204946560,3,P,50999,TA572448,,2024-01-16 22:02:54,413.7,58.42,77.21,37,None,2
34967,9,2024-03-20 10:16:08,ST151128179_5,ST308284001_7_0,ST784502953,2260661370,8,D,52338,TA808671,Type A,2024-02-27 03:43:47,53.56,55.52,50.6,54,None,1
34967,10,2024-04-07 05:43:07,ST309903929_5,ST772284300_6_8,ST243261074,2382628945,3,D,58506,TA707713,Type A,2024-03-22 12:14:27,480.51,27.31,42.38,92,None,1
34967,8,2024-02-23 21:20:33,ST206212051_5,ST910980768_5_5,ST975193309,2492238667,6,P,51633,TA741508,,2024-02-29 16:57:53,264.05,28.97,45.63,99,None,4
34967,10,2024-03-28 15:09:48,ST290293339_2,ST808435730_8_0,ST367009122,2335654739,8,NFR,54969,TA825551,Type A,2024-02-16 01:50:13,113.92,57.22,62.45,25,Mechanical Issue,2
13840,6,2024-02-03 13:15:47,ST993472403_6,ST427667309_7_7,ST585324358,2752439172,10,NFR,51142,TA633359,Type A,2024-01-13 00:00:43,122.13,39.97,66.16,110,None,4
13840,4,2024-01-27 13:54:21,ST338616508_5,ST694547201_3_5,ST410499836,2921974729,2,P,59771,TA364374,Type A,2024-01-27 12:52:25,82.7,41.22,42.69,77,None,2
13840,10,2024-02-24 20:31:05,ST182387601_5,ST651077679_4_4,ST179563233,2484231702,10,D,53638,TA375071,Type B,2024-03-31 19:32:24,370.73,10.88,61.52,26,Minor Traffic Violation,2
13840,10,2024-01-03 13:41:46,ST014180158_8,ST107511503_6_9,ST086164827,2301565032,2,P,58479,TA479395,Type A,2024-03-21 22:41:11,477.96,13.24,73.98,118,None,5
13840,6,2024-03-27 00:34:31,ST573678765_8,ST661039743_6_7,ST722685211,2836845835,3,P,51406,TA041272,Type B,2024-01-12 10:32:42,325.78,10.33,42.61,75,None,1
13840,5,2024-02-24 12:36:29,ST529855833_6,ST911074901_6_1,ST679618349,2192882207,2,D,50884,TA216527,,2024-02-24 17:16:39,92.86,54.34,58.22,107,Minor Traffic Violation,5
13840,8,2024-03-22 00:50:51,ST473460712_4,ST519469791_1_8,ST315349570,2242169849,8,D,51562,TA425912,Type A,2024-02-04 18:05:53,302.65,57.1,54.67,45,None,3
13840,8,2024-01-28 18:04:31,ST300336010_7,ST413077677_5_8,ST012195713,2082718616,6,NFR,59276,TA924291,Type A,2024-03-12 07:33:09,303.49,37.18,75.24,20,None,4
13840,8,2024-03-11 09:19:29,ST364699241_4,ST353800562_7_7,ST750285161,2861293646,9,NFR,54919,TA960579,Type A,2024-03-03 21:36:22,316.19,53.14,45.54,118,None,4
13840,9,2024-03-27 01:42:24,ST631384857_2,ST095995256_9_7,ST245609387,2387314249,2,P,58419,TA901682,,2024-02-20 09:10:26,171.16,45.4,56.72,47,None,3
38978,6,2024-02-29 13:32:41,ST909941236_5,ST296599152_4_9,ST215290612,2975103952,8,P,50220,TA737061,,2024-03-28 00:27:58,332.56,17.22,44.9,25,None,4
38978,4,2024-04-01 09:19:06,ST145857749_9,ST537120727_6_7,ST305665364,2986756621,4,NFR,56830,TA114938,,2024-02-08 05:42:52,420.84,37.92,79.21,99,None,2
38978,6,2024-02-18 07:51:11,ST128655238_5,ST503681211_0_7,ST927691968,2366103983,10,NFR,58694,TA470844,,2024-01-08 06:27:30,494.77,22.84,61.92,37,Minor Traffic Violation,5
38978,5,2024-02-15 12:40:54,ST602528954_9,ST478769862_0_2,ST943766359,2727080347,10,P,50304,TA853305,Type A,2024-01-21 11:23:19,238.53,39.39,73.66,110,Minor Traffic Violation,3
38978,3,2024-01-08 02:20:58,ST256208667_0,ST029897161_1_2,ST216172138,2339068985,2,D,55964,TA172363,Type B,2024-03-30 19:58:48,109.06,37.2,60.22,91,None,1
38978,5,2024-01-09 02:12:47,ST244960921_3,ST223900019_1_6,ST483170009,2039127077,4,NFR,54136,TA487911,,2024-03-16 03:06:52,364.19,59.65,77.32,91,None,3
38978,8,2024-02-09 23:10:08,ST127699814_9,ST550814083_2_4,ST632884743,2927842292,5,P,58868,TA936263,Type A,2024-03-03 09:31:49,494.56,33.95,47.3,49,None,2
38978,5,2024-01-27 11:46:12,ST971476140_7,ST813654241_4_0,ST626477748,2280967107,4,D,51745,TA744761,Type B,2024-02-18 05:02:25,181.4,45.42,73.81,91,None,2
38978,1,2024-02-24 07:18:20,ST427287619_8,ST885183141_5_6,ST724584856,2974289609,9,D,59655,TA468710,,2024-01-19 02:42:25,190.7,25.17,78.46,65,None,4
38978,7,2024-02-22 01:33:57,ST977497004_0,ST753480773_3_8,ST657853587,2519108504,3,NFR,50576,TA497264,Type A,2024-02-13 04:24:29,423.47,56.0,50.67,82,None,3
99993,3,2024-01-09 03:37:03,ST600623600_5,ST412973283_4_9,ST637720631,2614807283,8,P,51711,TA366129,Type A,2024-01-06 04:13:56,297.65,33.69,73.78,85,None,2
99993,7,2024-02-05 07:22:08,ST100406179_1,ST317062221_3_3,ST192199973,2875439224,2,NFR,58209,TA797001,Type A,2024-03-29 23:17:17,217.18,46.18,43.19,54,None,2
99993,2,2024-03-24 23:08:59,ST654019235_7,ST998887994_8_7,ST782139770,2096858267,3,D,55546,TA939333,Type A,2024-01-25 07:57:30,100.76,47.67,76.69,40,Accident,1
99993,6,2024-01-31 23:16:44,ST729663027_6,ST683716720_9_0,ST394933559,2040444553,8,NFR,57878,TA169284,Type A,2024-02-24 06:04:06,250.03,49.19,45.63,57,None,3
99993,10,2024-01-20 06:43:27,ST098380773_3,ST925809613_9_5,ST998124198,2637904028,7,D,56197,TA371039,Type A,2024-02-07 23:27:42,314.69,56.4,68.12,48,None,3
99993,1,2024-01-17 20:34:48,ST458038510_1,ST227456146_0_8,ST665208522,2368951147,8,D,54033,TA850588,Type A,2024-01-26 22:12:36,369.88,13.42,51.78,78,None,1
99993,5,2024-01-30 17:22:27,ST647557240_4,ST759946057_5_9,ST470012115,2981247148,7,NFR,54255,TA971458,Type A,2024-03-05 13:32:01,148.01,45.19,54.27,81,None,2
99993,1,2024-03-04 08:19:24,ST179957802_2,ST854616236_3_8,ST571635953,2833576686,4,D,52418,TA998892,,2024-02-11 08:06:59,302.4,55.99,72.29,52,None,2
99993,7,2024-01-13 19:56:52,ST030871484_1,ST727088446_2_3,ST486064259,2791863171,9,NFR,55453,TA666130,Type A,2024-02-05 15:43:40,419.3,12.62,63.82,88,None,2
99993,4,2024-01-16 19:48:59,ST516301098_6,ST409378299_6_1,ST630636542,2803879539,2,D,52284,TA228614,,2024-03-15 04:09:23,278.03,33.49,65.81,62,None,2
27452,7,2024-02-26 05:26:05,ST398998886_1,ST712376574_6_1,ST778206491,2450278223,7,P,54865,TA284947,Type A,2024-01-29 15:15:06,414.39,33.39,62.58,107,Mechanical Issue,3
27452,10,2024-02-13 17:58:17,ST960323647_8,ST936781284_3_2,ST209628444,2603950232,4,P,59971,TA210185,Type B,2024-01-20 10:00:50,114.49,29.63,75.21,39,None,5
27452,6,2024-04-02 11:15:23,ST454230301_2,ST578417067_0_8,ST017634226,2603961454,9,P,56268,TA466803,Type A,2024-01-28 22:04:08,165.53,23.47,56.79,36,None,4
27452,5,2024-04-05 08:04:11,ST076547565_8,ST169435696_9_8,ST712144774,2482257619,3,P,52347,TA681343,,2024-01-01 18:13:35,186.79,13.3,67.92,91,None,1
27452,2,2024-03-31 11:29:50,ST109116289_1,ST763086877_0_6,ST494406527,2416029415,9,D,50348,TA725139,,2024-03-23 17:52:32,320.5,10.38,73.18,79,None,1
27452,6,2024-01-08 06:11:53,ST119889732_1,ST360611675_3_7,ST324486146,2506015842,8,NFR,57239,TA045131,Type B,2024-01-10 22:41:21,340.13,36.53,73.76,106,None,4
27452,9,2024-04-07 16:43:21,ST633276275_2,ST114638660_4_2,ST097442033,2408354967,6,D,51416,TA114961,Type B,2024-02-29 12:41:34,296.77,27.71,59.88,110,None,1
27452,8,2024-02-26 05:36:24,ST003802522_3,ST906079679_0_8,ST038521293,2681634947,5,NFR,56414,TA747055,Type B,2024-03-10 06:33:39,290.78,56.19,41.29,65,None,2
27452,2,2024-01-01 11:18:13,ST367649638_0,ST041911407_2_9,ST066525976,2426729160,8,NFR,50334,TA326887,Type B,2024-03-03 18:13:25,392.04,40.41,47.65,47,None,2
27452,3,2024-03-02 19:09:23,ST695248153_2,ST699155205_7_0,ST621461138,2581370586,5,NFR,58647,TA115482,Type A,2024-01-23 11:44:49,72.12,26.54,68.55,77,None,4
69640,8,2024-03-07 22:00:27,ST830656557_1,ST522966633_0_1,ST676568923,2153732711,9,D,55305,TA377815,,2024-03-28 15:29:34,68.08,55.7,70.11,96,Mechanical Issue,4
69640,7,2024-03-17 03:19:28,ST985980421_3,ST086503330_2_2,ST652146500,2801768178,10,D,59380,TA658586,Type A,2024-04-04 22:21:23,433.78,16.87,73.57,40,Minor Traffic Violation,1
69640,5,2024-02-24 16:47:40,ST153696901_8,ST397165891_3_2,ST512026069,2739894933,3,D,55752,TA204164,,2024-01-24 01:46:40,69.39,45.39,78.58,26,None,4
69640,3,2024-02-08 15:01:34,ST479812846_1,ST128213686_0_8,ST695961671,2178716640,1,P,59968,TA226509,Type B,2024-03-08 21:04:21,155.34,19.23,40.05,56,None,3
69640,3,2024-03-26 02:38:44,ST952250646_1,ST814390701_1_5,ST209427776,2092330771,2,D,57164,TA640986,Type B,2024-01-09 09:40:34,445.46,36.5,40.71,65,None,1
69640,8,2024-01-28 20:43:44,ST885917716_1,ST902064646_6_4,ST067304688,2441906200,1,P,56971,TA221266,,2024-01-09 13:14:09,305.99,29.46,62.76,83,None,4
69640,9,2024-03-06 14:09:58,ST510083237_3,ST247812113_2_4,ST933744492,2654865281,3,NFR,52322,TA079720,Type A,2024-01-17 04:57:46,458.4,39.62,54.63,27,Mechanical Issue,4
69640,4,2024-03-25 23:50:55,ST043251048_6,ST967486924_7_9,ST397016230,2714965806,3,P,55443,TA019500,Type B,2024-03-14 20:46:57,383.61,27.99,52.02,117,None,3
69640,10,2024-02-10 16:56:57,ST230038579_4,ST996591101_3_5,ST540842500,2041124135,6,NFR,54718,TA570260,Type B,2024-01-21 17:32:30,194.03,16.88,54.37,114,None,2
69640,2,2024-02-19 05:20:20,ST294410442_4,ST473531780_5_6,ST535801250,2545563123,4,P,58335,TA840777,Type A,2024-04-01 12:07:31,189.94,10.95,42.08,106,None,1
42211,7,2024-03-24 19:04:01,ST923206504_6,ST558191905_2_6,ST325663670,2093837413,6,P,50138,TA001181,Type A,2024-04-05 04:03:19,216.21,44.41,57.6,62,Mechanical Issue,5
42211,5,2024-01-16 16:07:25,ST807246018_9,ST779475745_5_4,ST822966196,2573613136,2,NFR,51108,TA006693,,2024-01-20 11:24:13,198.1,59.82,60.75,33,None,3
42211,3,2024-03-29 07:27:09,ST536248823_9,ST149869058_4_0,ST066006234,2960969209,3,NFR,54038,TA224216,,2024-03-17 22:55:30,352.83,46.32,49.7,71,None,3
42211,10,2024-03-07 12:44:37,ST075151259_4,ST884810351_5_7,ST461570508,2863443206,2,D,59090,TA819456,Type A,2024-02-10 14:01:11,289.93,31.68,78.32,92,None,3
42211,9,2024-03-01 13:34:49,ST034968358_5,ST045836850_0_6,ST036919728,2582008707,6,NFR,58973,TA720622,Type A,2024-01-03 18:23:31,71.03,17.37,68.4,80,None,1
42211,10,2024-03-11 23:29:32,ST657641032_4,ST442071284_2_4,ST711497834,2438565519,4,NFR,58002,TA959752,Type B,2024-01-11 13:34:29,112.48,53.62,64.63,24,Minor Traffic Violation,4
42211,1,2024-03-14 00:52:38,ST000355128_8,ST333107393_1_1,ST396504815,2470936502,7,D,52659,TA644813,Type A,2024-01-13 21:47:34,336.62,30.6,65.18,50,None,1
42211,4,2024-02-29 12:46:18,ST830604340_8,ST565190749_9_7,ST859695450,2320650961,4,P,52604,TA179801,,2024-02-08 16:32:41,307.09,14.3,72.04,118,Minor Traffic Violation,3
